fecha,banco,monto,cuentas,operaciones,dispositivos_android,dispositivos_ios
2024-05-01,otros,106705015.0,30151.0,140746.5,19953971.0,8014343.0
2024-06-01,otros,98288186.5,23203.0,132069.5,20128586.0,8092054.0
2024-07-01,otros,99087149.5,22581.0,131753.5,20323689.0,8176344.0
2024-08-01,otros,96292794.5,26010.0,131502.5,20513207.0,8265964.0
2024-09-01,otros,93798813.5,24566.0,116507.5,20647479.0,8349754.0
2024-10-01,otros,100998118.0,25548.0,128355.5,20800199.0,8438737.0
2024-11-01,otros,102910989.5,26087.0,127478.5,20940375.0,8526816.0
2024-12-01,otros,111375417.0,24696.0,132147.5,21087465.0,8613792.0
2025-01-01,otros,104848458.0,21009.0,138383.5,21244502.0,8707062.0
2025-02-01,otros,88113830.5,13759.0,119122.5,21378314.0,8787420.0
2025-03-01,otros,94562438.5,11121.0,129623.0,21531889.0,8841101.0
2025-04-01,otros,61798350.0,21259.0,84315.5,21629785.0,8903455.0
2020-09-01,stp,4633046.5,29352.0,2349.0,4938701.0,1597143.0
2020-10-01,stp,4402100.5,34417.0,2239.5,5575963.0,1757739.0
2020-11-01,stp,5419438.0,40437.0,2387.0,6142203.0,1908697.0
2020-12-01,stp,5867946.0,42017.0,2807.5,6682017.0,2073589.0
2021-01-01,stp,5614622.0,39282.0,2649.0,7248995.0,2232731.0
2021-02-01,stp,5503711.0,46475.0,2879.0,7669462.0,2372193.0
2021-03-01,stp,7241214.5,52302.0,3270.5,8106512.0,2531450.0
2021-04-01,stp,8848452.0,44434.0,3211.5,8498191.0,2707591.0
2021-05-01,stp,12761178.0,40199.0,3984.5,8876227.0,2875971.0
2021-06-01,stp,7544442.5,35408.0,3765.0,9225814.0,3010399.0
2021-07-01,stp,8594360.0,41437.0,3652.5,9595034.0,3142592.0
2021-08-01,stp,7460530.5,36943.0,3728.5,10086910.0,3274232.0
2021-09-01,stp,8258598.5,35831.0,4298.0,10530505.0,3414431.0
2021-10-01,stp,9778913.5,31646.0,6055.0,10949698.0,3551784.0
2021-11-01,stp,10930515.0,35756.0,5612.0,11383238.0,3715522.0
2021-12-01,stp,15513100.0,37011.0,8102.5,11800314.0,3885700.0
2022-01-01,stp,15642047.5,-66624.0,8500.5,12088216.0,4051653.0
2022-02-01,stp,21177422.0,29708.0,9065.0,12379124.0,4189027.0
2022-03-01,stp,20732436.5,130905.0,11118.5,12832731.0,4340792.0
2022-04-01,stp,20270053.0,32188.0,11290.0,13135106.0,4482829.0
2022-05-01,stp,19566371.5,-56883.0,12824.0,13398955.0,4626078.0
2022-06-01,stp,19766162.0,29111.0,13877.0,13711691.0,4780526.0
2022-07-01,stp,21597790.5,28515.0,15241.5,13988821.0,4924567.0
2022-08-01,stp,26798215.0,31066.0,17843.0,14312589.0,5068063.0
2022-09-01,stp,29260440.5,34237.0,19941.5,14629420.0,5207742.0
2022-10-01,stp,31195612.5,39623.0,21852.0,14942585.0,5370886.0
2022-11-01,stp,34601541.0,36604.0,22700.0,15241582.0,5539329.0
2022-12-01,stp,44786722.5,32671.0,26638.0,15548774.0,5717516.0
2023-01-01,stp,43969837.0,34111.0,28305.5,15859693.0,5901818.0
2023-02-01,stp,46672510.5,29300.0,27958.0,16119170.0,6058867.0
2023-03-01,stp,73519327.5,36087.0,32790.0,16424635.0,6234730.0
2023-04-01,stp,61787399.5,34084.0,32347.5,16711362.0,6400527.0
2023-05-01,stp,80632328.0,35228.0,35253.0,17018006.0,6503404.0
2023-06-01,stp,67855240.0,34560.0,36533.0,17335498.0,6529526.0
2023-07-01,stp,52270080.0,28391.0,34525.5,17646067.0,6707819.0
2023-08-01,stp,50544007.5,34330.0,35089.0,17941069.0,6904966.0
2023-09-01,stp,46262153.0,26926.0,34606.5,18227346.0,7046289.0
2023-10-01,stp,54125190.5,37774.0,37298.0,18452822.0,7133646.0
2023-11-01,stp,76599351.5,31862.0,37793.5,18672046.0,7219981.0
2023-12-01,stp,69604555.0,33486.0,42247.0,18894750.0,7129734.0
2024-01-01,stp,61997910.5,39018.0,45939.0,19124479.0,7675596.0
2024-02-01,stp,76794428.5,34083.0,43541.0,19331135.0,7747889.0
2024-03-01,stp,83772651.5,35078.0,44730.0,19542150.0,7830447.0
2024-04-01,stp,108412646.5,35381.0,45842.0,19748791.0,7928203.0
2024-05-01,stp,96211857.5,38299.0,46484.5,19953971.0,8014343.0
2024-06-01,stp,105942167.5,31197.0,47605.5,20128586.0,8092054.0
2024-07-01,stp,74287367.5,33938.0,42010.0,20323689.0,8176344.0
2024-08-01,stp,82181587.0,44674.0,44921.5,20513207.0,8265964.0
2024-09-01,stp,77522266.0,39836.0,36973.0,20647479.0,8349754.0
2024-10-01,stp,89667496.5,41901.0,39392.0,20800199.0,8438737.0
2024-11-01,stp,92791713.5,39915.0,38407.0,20940375.0,8526816.0
2024-12-01,stp,80034869.0,39629.0,44851.5,21087465.0,8613792.0
2025-01-01,stp,91217692.0,43350.0,68680.0,21244502.0,8707062.0
2025-02-01,stp,86289741.5,36867.0,63449.5,21378314.0,8787420.0
2025-03-01,stp,92151659.0,39464.0,71601.0,21531889.0,8841101.0
2025-04-01,stp,59392003.5,25848.0,45344.5,21629785.0,8903455.0
